,date,impact_energy(kt),velocity(km/s),altitude,coord
0,2024-06-18,0.079,16.2,28.7,N/A
1,2024-06-18,1.2,35.4,44.3,"(('44.3', 'N'), ('173.2', 'E'))"
2,2024-06-03,0.092,N/A,60.0,"(('63.1', 'S'), ('53.2', 'W'))"
3,2024-06-01,0.25,12.6,26.5,"(('1.0', 'S'), ('15.9', 'W'))"
4,2024-05-27,0.26,39.2,56.0,"(('1.7', 'N'), ('39.4', 'W'))"
5,2024-05-24,0.18,36.5,42.0,"(('6.6', 'N'), ('114.2', 'E'))"
6,2024-05-18,0.13,40.4,74.3,"(('41.0', 'N'), ('8.8', 'W'))"
7,2024-05-15,0.098,N/A,64.2,"(('49.8', 'N'), ('54.1', 'W'))"
8,2024-05-05,0.13,13.9,39.0,"(('7.1', 'S'), ('112.7', 'W'))"
9,2024-04-09,0.11,N/A,36.3,"(('36.5', 'N'), ('37.8', 'W'))"
10,2024-03-17,0.13,25.6,42.1,"(('27.6', 'N'), ('117.2', 'E'))"
11,2024-02-26,0.13,31.3,33.1,"(('22.9', 'N'), ('57.1', 'E'))"
12,2024-02-05,0.15,14.4,23.0,"(('13.8', 'S'), ('123.7', 'E'))"
13,2023-12-30,0.6,28.3,37.0,"(('63.4', 'S'), ('79.9', 'E'))"
14,2023-12-11,0.36,26.0,31.7,"(('53.6', 'S'), ('146.0', 'E'))"
15,2023-12-05,0.076,20.6,24.1,"(('10.0', 'N'), ('42.9', 'E'))"
16,2023-11-21,0.13,18.3,37.0,"(('9.4', 'S'), ('17.4', 'E'))"
17,2023-10-30,0.092,17.6,33.8,"(('42.9', 'S'), ('44.7', 'W'))"
18,2023-10-26,0.78,30.2,44.2,"(('45.9', 'N'), ('174.8', 'W'))"
19,2023-10-23,0.18,N/A,39.0,"(('49.6', 'S'), ('75.4', 'E'))"
20,2023-10-16,0.1,19.8,35.3,"(('6.5', 'S'), ('65.4', 'W'))"
21,2023-10-14,0.18,19.3,37.0,"(('8.4', 'S'), ('161.9', 'W'))"
22,2023-09-28,0.16,N/A,37.0,"(('13.2', 'N'), ('72.4', 'E'))"
23,2023-09-07,0.076,N/A,N/A,"(('27.0', 'N'), ('150.8', 'E'))"
24,2023-09-03,0.082,N/A,37.0,"(('43.2', 'S'), ('102.2', 'E'))"
25,2023-08-17,0.25,16.1,35.4,"(('48.6', 'N'), ('100.1', 'E'))"
26,2023-08-05,3.8,21.8,44.0,"(('19.9', 'N'), ('131.7', 'W'))"
27,2023-07-26,0.44,15.6,36.1,"(('18.9', 'N'), ('103.4', 'W'))"
28,2023-07-07,0.092,25.7,38.3,"(('14.5', 'N'), ('126.6', 'W'))"
29,2023-07-06,0.1,N/A,71.0,"(('59.3', 'S'), ('145.4', 'W'))"
30,2023-06-21,1.4,16.5,40.4,"(('12.4', 'N'), ('62.8', 'E'))"
31,2023-05-20,7.2,27.9,29.0,"(('17.8', 'S'), ('141.9', 'E'))"
32,2023-04-26,0.086,16.2,29.6,"(('47.0', 'N'), ('10.7', 'W'))"
33,2023-04-15,6.3,17.2,41.4,"(('20.1', 'S'), ('36.0', 'E'))"
34,2023-04-06,0.23,22.1,31.2,"(('57.4', 'N'), ('109.9', 'E'))"
35,2023-04-01,0.086,46.4,61.8,"(('16.8', 'S'), ('76.0', 'E'))"
36,2023-03-20,0.095,N/A,34.8,"(('23.7', 'S'), ('132.6', 'E'))"
37,2023-03-11,1.1,N/A,32.0,"(('74.7', 'S'), ('79.5', 'E'))"
38,2023-03-03,0.2,25.3,32.0,"(('40.1', 'N'), ('87.4', 'E'))"
39,2023-02-19,0.57,23.0,37.0,"(('7.9', 'N'), ('109.9', 'E'))"
40,2023-02-14,0.52,15.6,32.3,"(('48.0', 'S'), ('53.3', 'W'))"
41,2023-02-02,0.1,N/A,33.0,"(('26.2', 'S'), ('143.1', 'W'))"
42,2023-01-22,0.073,N/A,61.0,"(('3.5', 'N'), ('76.2', 'W'))"
43,2023-01-17,0.1,14.2,38.0,"(('33.1', 'N'), ('173.7', 'W'))"
44,2023-01-11,0.15,17.5,33.5,"(('31.5', 'N'), ('18.6', 'E'))"
45,2023-01-09,0.28,16.7,27.0,"(('45.7', 'S'), ('135.0', 'E'))"
46,2023-01-02,0.16,N/A,44.6,"(('1.5', 'N'), ('129.0', 'E'))"
47,2022-12-29,0.2,16.4,32.3,"(('42.3', 'N'), ('92.9', 'E'))"
48,2022-12-13,0.2,18.7,20,"(('32.75', 'N'), ('2.1', 'W'))"
49,2022-11-20,0.11,N/A,50.0,"(('17.0', 'S'), ('95.7', 'W'))"
50,2022-11-20,0.12,21.7,26.0,"(('15.0', 'N'), ('109.7', 'W'))"
51,2022-11-08,0.13,N/A,41.0,"(('77.2', 'N'), ('93.2', 'W'))"
52,2022-10-28,0.16,N/A,45.0,"(('7.1', 'N'), ('118.9', 'W'))"
53,2022-10-20,0.16,N/A,65.6,"(('26.6', 'N'), ('165.1', 'E'))"
54,2022-09-15,0.095,N/A,31.5,"(('22.7', 'N'), ('97.6', 'E'))"
55,2022-09-14,0.11,17.4,35.8,"(('40.8', 'N'), ('63.4', 'E'))"
56,2022-09-04,0.086,21.9,14.0,"(('20.0', 'N'), ('165.9', 'E'))"
57,2022-08-21,0.076,N/A,37,"(('6.3', 'S'), ('51.5', 'E'))"
58,2022-08-14,1.2,N/A,55.5,"(('35.0', 'S'), ('78.4', 'E'))"
59,2022-07-28,0.68,29.9,37.5,"(('6.0', 'S'), ('86.9', 'W'))"
60,2022-07-27,1.3,19.8,38.1,"(('44.8', 'S'), ('2.9', 'W'))"
61,2022-07-25,0.27,15.2,33.6,"(('40.5', 'S'), ('76.6', 'E'))"
62,2022-07-22,0.19,17.4,32.7,"(('23.3', 'S'), ('20.5', 'W'))"
63,2022-07-20,0.27,16.0,32.2,"(('43.0', 'S'), ('59.6', 'W'))"
64,2022-07-08,0.095,20.2,22.0,"(('21.3', 'N'), ('130.1', 'E'))"
65,2022-07-07,1.8,N/A,35,"(('41.7', 'S'), ('175.0', 'E'))"
66,2022-06-30,0.28,N/A,56,"(('31.9', 'S'), ('12.9', 'W'))"
67,2022-06-26,0.21,20.1,19.0,"(('69.7', 'S'), ('164.7', 'E'))"
68,2022-06-14,0.28,N/A,61.0,"(('4.6', 'N'), ('39.1', 'W'))"
69,2022-06-07,0.11,24.9,41.1,"(('40.8', 'N'), ('127.1', 'W'))"
70,2022-05-24,0.37,N/A,39.8,"(('16.3', 'N'), ('30.4', 'W'))"
71,2022-04-21,0.13,12.7,28.4,"(('55.5', 'S'), ('68.9', 'W'))"
72,2022-04-12,0.17,20.6,23.8,"(('8.2', 'S'), ('57.8', 'E'))"
73,2022-04-04,0.095,19.7,31.5,"(('3.2', 'S'), ('64.3', 'W'))"
74,2022-03-30,0.073,N/A,74.0,"(('45.9', 'S'), ('171.4', 'W'))"
75,2022-03-28,0.98,19.6,29.0,"(('7.7', 'S'), ('74.3', 'E'))"
76,2022-03-24,0.24,18.2,56.7,"(('1.9', 'N'), ('20.6', 'W'))"
77,2022-03-11,4,17.2,33.3,"(('70.0', 'N'), ('9.1', 'W'))"
78,2022-03-06,0.073,N/A,N/A,"(('4.1', 'S'), ('99.5', 'W'))"
79,2022-03-03,0.076,N/A,72.0,"(('50.4', 'S'), ('45.9', 'E'))"
80,2022-02-17,0.095,N/A,41.0,"(('33.5', 'N'), ('38.9', 'W'))"
81,2022-02-17,0.21,21.5,32.4,"(('5.4', 'N'), ('56.4', 'E'))"
82,2022-02-07,7,13.1,26.5,"(('28.7', 'S'), ('11.4', 'E'))"
83,2022-02-03,0.44,22.8,36.0,"(('13.3', 'S'), ('142.2', 'E'))"
84,2022-01-30,0.18,20.0,36.6,"(('50.0', 'N'), ('38.0', 'W'))"
85,2022-01-28,0.9,N/A,37.0,"(('4.5', 'S'), ('73.9', 'W'))"
86,2022-01-11,2.9,22.8,40.8,"(('58.4', 'S'), ('160.2', 'W'))"
87,2022-01-01,0.42,N/A,35.5,"(('66.1', 'N'), ('152.6', 'W'))"
