,id,title,link,sources,date,coord
0,EONET_6523,Iceberg A83,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6523,https://earthobservatory.nasa.gov/images/152848/antarctic-ice-shelf-spawns-iceberg-a-83,2024-05-24,"[-25.55, -75.37]"
1,EONET_6520,Iceberg A76N,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6520,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2024-05-17,"[-54.04, -63.76]"
2,EONET_6510,Iceberg D33C,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6510,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2024-04-19,"[-20.02, -75.52]"
3,EONET_6482,Iceberg D36,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6482,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2024-02-08,"[86.63, -66.31]"
4,EONET_6478,Iceberg D30C,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6478,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2024-02-02,"[-35.5, -54.07]"
5,EONET_6474,Iceberg D35,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6474,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2024-01-11,"[21.01, -69.83]"
6,EONET_6465,Iceberg A82,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6465,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-12-15,"[-72.42, -72.85]"
7,EONET_6448,Iceberg D34,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6448,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-10-20,"[82.12, -67.18]"
8,EONET_6423,Iceberg D33A,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6423,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-08,"[17.14, -69.38]"
9,EONET_6424,Iceberg D33B,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6424,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-08,"[18.3, -69.64]"
10,EONET_6330,Iceberg A80D,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6330,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-02-23,"[-59.34, -72.19]"
11,EONET_6320,Iceberg A81,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6320,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-01-27,"[-27.16, -75.66]"
12,EONET_6302,Iceberg A80A,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6302,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-12-02,"[-60.27, -71.77]"
13,EONET_6288,Iceberg D32,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6288,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-10-21,"[70.68, -68.36]"
14,EONET_6080,Iceberg A74A,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6080,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-06-10,"[-45.89, -76.9]"
15,EONET_6081,Iceberg A74B,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6081,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-06-10,"[-44.91, -76.75]"
16,EONET_6051,Iceberg C39,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6051,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-04-29,"[99.61, -65.68]"
17,EONET_6037,Iceberg C38B,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6037,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-03-25,"[101.72, -65.06]"
18,EONET_5907,Iceberg A78,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_5907,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2021-08-27,"[-4.03, -70.35]"
19,EONET_5906,Iceberg A77,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_5906,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2021-08-20,"[-12.05, -71.01]"
