Asteroid ID,Name,Est diameter (km),Potentially hazardous?,Closest approach date,Approach velocity (kps),How much did the asteroid miss us by? (km),For more info on this asteroid: 
2415949,415949 (2001 XY10),0.57,False,2024-01-02,15.89,50452409.35,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2415949
3160747,(2003 SR84),0.03,False,2024-01-02,10.72,19798169.93,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3160747
3309828,(2005 YQ96),0.32,True,2024-01-02,15.67,24984732.56,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3309828
3457842,(2009 HC21),0.16,False,2024-01-02,6.08,73609796.92,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3457842
3553062,(2010 XA11),0.03,False,2024-01-02,8.74,35275514.13,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3553062
3591616,(2011 YP10),0.07,False,2024-01-02,5.81,10545147.18,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3591616
3608936,(2012 SD22),0.42,True,2024-01-02,11.02,24597313.44,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3608936
3795154,(2017 YD8),0.18,False,2024-01-02,18.99,30107678.45,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3795154
3842680,(2019 KK5),0.12,False,2024-01-02,20.83,3904096.68,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3842680
2613286,613286 (2005 YQ96),0.32,True,2024-01-02,15.67,24984795.05,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2613286
54338714,(2023 AW),0.03,False,2024-01-02,5.3,16252312.97,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54338714
54415081,(2023 XZ4),0.07,False,2024-01-02,11.33,21691678.39,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54415081
54417653,(2023 YR),0.05,False,2024-01-02,12.22,1729961.78,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54417653
54418497,(2024 AA),0.01,False,2024-01-02,21.43,610571.84,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418497
54418796,(2022 OY78),0.02,False,2024-01-02,8.83,17553928.18,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418796
54419485,(2024 AQ1),0.08,False,2024-01-02,15.47,6556678.64,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419485
54419601,(2024 AA2),0.34,False,2024-01-02,16.0,28794164.53,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419601
54420153,(2024 AR3),0.08,False,2024-01-02,13.04,7878470.46,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420153
54421393,(2024 BK1),0.05,False,2024-01-02,5.85,36368802.56,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421393
2669051,669051 (2012 SD22),0.42,True,2024-01-02,11.02,24597309.77,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2669051
54444997,(2024 KY),0.02,False,2024-01-02,6.28,35127451.54,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54444997
54445206,(2024 KJ1),0.02,False,2024-01-02,4.99,16030952.33,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54445206
3724393,(2015 OD22),0.25,False,2024-01-01,25.39,65417380.11,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3724393
3797695,(2018 BA),0.04,False,2024-01-01,16.71,59256680.3,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3797695
3986699,(2020 BC),0.02,False,2024-01-01,8.31,25070662.22,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3986699
54200446,(2021 SG2),0.03,False,2024-01-01,19.26,71794479.51,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54200446
54235663,(2022 AO2),0.06,False,2024-01-01,19.51,55049570.13,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54235663
54418438,(2023 YR1),0.03,False,2024-01-01,13.3,2484569.27,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418438
54418650,(2023 YY1),0.03,False,2024-01-01,6.48,4058906.9,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418650
54419698,(2024 AV2),0.02,False,2024-01-01,8.06,1452237.37,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419698
54421384,(2024 AA6),0.04,False,2024-01-01,7.12,7351471.45,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421384
2450293,450293 (2004 LV3),0.74,True,2024-01-04,23.72,37629939.1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2450293
3541505,(2010 PJ),0.16,False,2024-01-04,18.41,48751391.9,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3541505
3759758,(2016 SU2),0.01,False,2024-01-04,17.12,24656351.16,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3759758
54244177,(2022 BR6),0.02,False,2024-01-04,20.31,67952893.52,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54244177
54377575,(2023 QC2),0.03,False,2024-01-04,5.38,66150221.24,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54377575
54416724,(2023 XX12),0.05,False,2024-01-04,6.91,8493706.12,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54416724
54416853,(2023 XS13),0.06,False,2024-01-04,6.9,23231366.09,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54416853
54418649,(2024 AD),0.01,False,2024-01-04,9.9,242675.94,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418649
